domain,ip
account.conversations.im,89.238.76.44,
conference.conversations.im,89.238.76.44,
conversations.im,78.47.177.120,
proxy.conversations.im,89.238.76.44,
share.conversations.im,89.238.76.44,
web.conversations.im,89.238.76.44,
xmpp.conversations.im,89.238.76.44,
xmpps.conversations.im,89.238.78.50,
compliance.conversations.im,78.47.177.120,
conversations.im,78.47.177.120,
status.conversations.im,78.47.177.120,
www.conversations.im,78.47.177.120,
account.conversations.im,89.238.76.44,
compliance.conversations.im,78.47.177.120,
conference.conversations.im,89.238.76.44,
conversations.im,78.47.177.120,
proxy.conversations.im,89.238.76.44,
pubsub.conversations.im,Domain not resolved,
push.conversations.im,Domain not resolved,
share.conversations.im,89.238.76.44,
status.conversations.im,78.47.177.120,
upload.conversations.im,Domain not resolved,
web.conversations.im,89.238.76.44,
webchat.conversations.im,Domain not resolved,
www.conversations.im,78.47.177.120,
xmpp.conversations.im,89.238.76.44,
xmpps.conversations.im,89.238.78.50,
account.conversations.im,89.238.76.44,
compliance.conversations.im,78.47.177.120,
conference.conversations.im,89.238.76.44,
proxy.conversations.im,89.238.76.44,
share.conversations.im,89.238.76.44,
status.conversations.im,78.47.177.120,
web.conversations.im,89.238.76.44,
www.conversations.im,78.47.177.120,
xmpp-hosting.conversations.im,89.238.76.44,
xmpp.conversations.im,89.238.76.44,
xmpps.conversations.im,89.238.78.50,
2.xmpp.conversations.im,Domain not resolved,
3.xmpp.conversations.im,Domain not resolved,
4.xmpp.conversations.im,Domain not resolved,
broadcast.xmpp.conversations.im,Domain not resolved,
gateway.xmpp.conversations.im,Domain not resolved,
network.xmpp.conversations.im,Domain not resolved,
xmpp.conversations.im,89.238.76.44,
xmpps-hosting.conversations.im,89.238.78.50,
xmpps.conversations.im,89.238.78.50,
